ID,age,length_in_durham,mask_public_outdoor,condition_public_art
1,1,29,5,2
2,3,34,5,3
3,2,15,2,4
4,1,11,5,4
5,1,4,4,5
6,4,35,2,9
7,1,3,9,4
8,1,25,2,4
9,5,25,4,3
10,1,12,4,4
11,2,20,9,4
12,4,41,9,9
13,2,22,1,1
14,1,4,5,4
15,3,6,4,9
16,4,30,5,4
17,3,20,4,4
18,1,4,5,3
19,1,7,9,4
20,2,12,9,9
21,3,23,9,9
22,5,5,5,9
23,1,5,5,4
24,4,37,5,3
25,2,25,5,3
26,1,0,5,9
27,2,21,5,5
28,2,6,5,9
29,1,5,4,4
30,1,28,9,3
31,1,8,4,4
32,2,14,9,9
33,1,5,3,4
34,3,50,5,4
35,3,52,5,4
36,5,48,3,9
37,4,43,9,3
38,1,6,1,3
39,4,47,2,4
40,4,25,4,4
41,1,7,1,3
42,1,26,5,4
43,1,5,5,4
44,1,7,5,9
45,1,2,5,3
46,4,49,5,4
47,4,57,3,3
48,4,4,5,5
49,2,31,5,9
50,3,39,5,3
51,9,11,5,1
52,5,77,5,9
53,9,NA,5,3
54,2,40,5,9
55,4,13,5,9
56,3,9,5,4
57,1,10,5,9
58,3,17,2,9
59,5,26,1,3
60,3,36,5,2
61,1,30,5,5
62,1,11,3,3
63,3,4,5,3
64,2,41,5,4
65,1,4,5,4
66,3,44,5,4
67,4,48,9,2
68,4,38,9,4
69,4,24,9,4
70,3,25,5,4
71,5,70,4,9
72,4,NA,9,4
73,1,14,5,9
74,5,75,5,5
75,4,51,5,4
76,3,49,5,3
77,1,33,5,9
78,2,3,5,3
79,1,32,5,3
80,3,6,9,9
81,5,73,5,3
82,1,5,5,5
83,4,21,3,4
84,3,52,3,9
85,4,8,5,4
86,5,30,3,2
87,3,40,4,3
88,1,1,5,3
89,3,54,5,4
90,3,25,5,2
91,9,NA,5,9
92,4,56,5,4
93,3,25,4,3
94,1,4,5,5
95,5,70,3,3
96,5,72,4,3
97,5,33,4,9
98,5,50,5,4
99,5,40,5,9
100,1,10,3,3
101,4,57,5,4
102,3,51,9,9
103,1,7,5,5
104,3,18,5,4
105,4,8,5,4
106,5,71,5,9
107,2,26,1,1
108,1,12,9,4
109,1,13,2,2
110,4,13,9,5
111,5,70,5,1
112,2,12,4,4
113,4,35,4,4
114,1,11,4,3
115,4,25,5,9
116,2,4,4,4
117,2,1,5,4
118,2,20,5,4
119,5,27,9,4
120,2,NA,5,3
121,5,NA,4,3
122,3,42,9,1
123,5,32,5,9
124,9,65,1,9
125,5,NA,5,9
126,1,2,5,4
127,5,16,5,9
128,3,41,4,1
129,2,20,9,4
130,2,25,5,3
131,2,6,3,4
132,5,50,5,4
133,1,2,9,4
134,5,60,9,9
135,1,6,5,3
136,1,10,5,3
137,3,30,5,4
138,1,3,5,4
139,4,NA,5,4
140,2,22,5,9
141,1,13,5,3
142,5,73,9,4
143,3,33,5,9
144,1,0,5,9
145,5,76,5,4
146,4,41,5,9
147,5,20,5,4
148,3,50,5,3
149,1,20,5,3
150,2,6,5,2
151,2,41,9,1
152,3,33,5,3
153,4,7,5,3
154,2,43,2,9
155,2,21,5,4
156,1,3,5,2
157,1,4,5,5
158,1,5,5,2
159,3,20,5,2
160,4,30,5,4
161,1,6,5,4
162,5,68,5,1
163,4,60,2,4
164,4,60,5,1
165,1,4,5,3
166,5,42,5,4
167,1,10,9,3
168,5,33,5,9
169,5,34,5,4
170,2,8,5,4
171,5,44,5,9
172,3,39,5,4
173,1,3,5,4
174,5,70,5,9
175,1,1,9,4
176,5,79,5,9
177,4,32,5,4
178,1,26,5,4
179,3,47,5,3
180,1,3,5,9
181,4,64,5,5
182,5,73,3,3
183,4,29,5,5
184,4,35,5,3
185,4,1,5,3
186,4,21,4,3
187,3,36,9,3
188,2,12,4,9
189,1,12,2,1
190,4,62,5,3
191,3,4,5,4
192,5,60,5,3
193,4,47,4,9
194,5,49,9,9
195,1,7,4,4
196,1,6,4,4
197,1,3,3,3
198,3,26,5,9
199,1,2,4,3
200,2,20,5,4
201,4,40,5,3
202,5,61,5,4
203,1,1,5,3
204,2,14,5,3
205,2,4,3,4
206,1,8,3,4
207,1,4,3,3
208,1,5,5,3
209,2,25,1,9
210,2,20,4,9
211,3,32,3,4
212,5,18,1,2
213,5,50,5,4
214,5,40,5,3
215,2,5,5,4
216,5,NA,9,9
217,3,16,5,3
218,3,39,5,4
219,1,1,5,5
220,1,2,3,9
221,1,7,5,2
222,4,52,5,4
223,2,15,5,4
224,3,48,5,4
225,1,3,4,4
226,3,40,5,4
227,3,32,5,3
228,5,60,5,2
229,9,6,5,4
230,2,20,5,9
231,1,0,5,4
232,2,30,3,3
233,2,17,5,9
234,4,7,9,9
235,3,35,5,4
236,5,65,9,9
237,2,14,5,4
238,4,9,5,5
239,2,30,1,9
240,2,16,9,4
241,2,40,1,9
242,4,NA,4,3
243,2,14,2,1
244,4,35,5,3
245,5,70,2,3
246,5,39,4,4
247,4,6,5,9
248,1,2,5,5
249,2,7,5,4
250,5,6,3,4
251,3,53,5,4
252,4,64,5,9
253,1,5,5,4
254,3,48,3,4
255,4,64,2,3
256,5,66,9,9
257,5,51,5,3
258,2,16,5,3
259,1,15,4,3
260,3,39,4,2
261,4,25,5,3
262,2,10,5,4
263,2,25,5,4
264,1,10,4,3
265,5,20,3,3
266,3,48,5,3
267,3,22,5,4
268,2,5,5,9
269,3,30,5,4
270,3,20,5,4
271,5,NA,5,9
272,2,17,5,9
273,2,30,5,4
274,3,20,5,4
275,1,13,5,5
276,2,25,5,4
277,3,35,5,4
278,5,12,5,9
279,1,33,5,9
280,9,20,1,1
281,5,58,5,3
282,1,10,4,4
283,3,22,5,4
284,3,23,4,9
285,3,54,5,4
286,1,1,5,5
287,1,14,5,4
288,3,54,9,3
289,2,11,5,4
290,5,NA,5,3
291,3,51,3,9
292,1,5,5,3
293,2,16,5,3
294,9,5,5,9
295,1,14,9,4
296,5,78,5,9
297,3,39,4,9
298,4,35,5,3
299,5,30,5,4
300,3,30,5,9
301,5,30,5,3
302,1,25,5,4
303,4,35,5,5
304,3,46,4,3
305,5,25,5,5
306,5,12,5,9
307,1,5,5,9
308,1,4,4,4
309,5,71,5,4
310,2,15,5,3
311,1,10,3,4
312,1,1,9,9
313,1,0,3,3
314,1,6,5,5
315,4,62,5,9
316,2,14,5,4
317,5,36,5,3
318,1,2,2,4
319,1,6,4,3
320,5,50,4,2
321,1,10,5,5
322,5,26,5,4
323,4,11,4,4
324,5,71,9,3
325,3,23,5,9
326,2,33,5,4
327,2,37,5,9
328,3,49,5,9
329,4,43,5,3
330,1,33,3,9
331,1,14,5,3
332,3,53,3,3
333,4,61,5,4
334,4,35,5,9
335,5,74,5,3
336,5,50,5,3
337,5,6,5,3
338,5,43,5,3
339,9,76,5,9
340,2,10,5,3
341,5,40,1,9
342,2,12,5,5
343,3,52,5,4
344,2,NA,5,3
345,2,15,9,3
346,2,15,5,3
347,3,20,5,9
348,2,10,3,3
349,9,31,5,4
350,2,20,4,9
351,3,15,5,5
352,2,17,4,4
353,4,50,3,5
